model_id,arch_id,parameters,alpha,epochs,batch_size,activation,window_size,latent_channels,latent_seq_len,train_loss,valid_loss,train_time,mse
EC8B:01E4:DFDC:63F7,a619,38880,0.9,100,128,l1+alpha*mse,800,18,800,0.0216075485085497,0.0124132126303655,409.292366027832,0.0008491234038956
5C9F:1CFF:DCCF:48DF,4e36,6642,0.9,100,128,l1+alpha*mse,800,18,800,0.0169930980475291,0.0098067868800301,92.32067680358888,0.0006725990679115
4C19:688A:5476:08E4,a619,38880,0.9,100,128,l1+alpha*mse,800,18,800,0.0212680391976656,0.0121440748418016,408.94794178009033,0.0008489547763019
C838:9EB5:5FB3:C5E7,4e36,6642,0.9,100,128,l1+alpha*mse,800,18,800,0.0170883636491083,0.0098603691273768,94.22290778160097,0.0006696400814689
92AE:F705:FF1D:9CB8,d12d,14904,0.9,100,128,l1+alpha*mse,800,18,800,0.0171073671177628,0.0099996579312054,168.32240295410156,0.0006851170910522
7A40:1A7D:0A2F:01E1,264d,28080,0.9,100,128,l1+alpha*mse,800,18,800,0.0169165333704882,0.0098546588394258,285.85723853111267,0.000675045477692
5F88:64E5:B227:9117,2c81,35532,0.9,100,128,l1+alpha*mse,800,18,800,0.0176797361609212,0.0103255182038992,360.47530221939087,0.0006989618996158
BC2D:8CE8:DB2E:EF29,7f8a,38880,0.9,100,128,l1+alpha*mse,800,18,800,0.0208187780750157,0.012259212189487,421.32644629478455,0.0008219751180149
9B96:E7EE:01A8:5186,4f53,6642,0.9,100,128,l1+alpha*mse,800,18,800,0.0168579037900284,0.0097643587172829,96.05890035629272,0.0006733622867614
5DE0:68E6:9762:EA17,a8e1,6642,0.9,100,128,l1+alpha*mse,800,18,800,0.0170109726245229,0.0098213907996458,97.84281659126282,0.0006791274645365
A3F8:22BF:F9FC:9341,1b45,6642,0.9,100,128,l1+alpha*mse,800,18,800,0.016341722546959644,0.00944938899816147,95.49181842803955,0.0006677046185359359
