model_id,architecture,activation,window_size,latent_dim,train_loss,valid_loss,train_time
CA5B:E21B:71ED:3A1C,CNN-Based,l1+0.7mse,200,25,0.026919718460590183,0.016337156916658085,3334.8856856822968
F06D:D524:BFD6:232E,CNN-Based,l1+0.7mse,200,25,0.032529789599315295,0.01982370754546028,1995.012493133545
D86A:2185:C32B:7239,CNN-Based,l1+0.7mse,400,50,0.03281440286465535,0.019779165162993915,4384.179658412933
A3B3:8C1F:43AC:7718,CNN-Based,l1+0.7mse,600,75,0.03271362293594618,0.019632794273396332,7866.015038013458
B4AD:31CC:3620:B782,CNN-Based,l1+0.7mse,800,100,0.03324065504065464,0.020202053544510688,10255.086270809174
7547:B8DA:C870:507A,CNN-Based,l1+0.9mse,200,25,0.02877057758461443,0.017308290874175097,1607.8504078388214
829C:AF16:5D58:E61C,CNN-Based,l1+0.9mse,400,50,0.029404734200002943,0.0176352573044855,3246.9496665000916
C019:A640:74EF:D675,CNN-Based,l1+0.9mse,600,75,0.030144346465292102,0.018281080596671814,7923.940644025803
102E:5B5E:C956:FD77,CNN-Based,l1+0.9mse,800,100,0.030278004077204528,0.018342307868546674,12537.145628452301
